Requested sampling_freq=416.000000; now=416.000000
Ism330IioReader::__start_thread__.
IIO IMU started at accel@iio:device1 + gyro@iio:device0
acc_x=-0.187m/s, acc_y=0.396m/s, acc_z=10.221m/s, gyrv_x=-0.289°/s, gyrv_y=-21.822°/s, gyrv_z=4.769°/s, time=7058.827
acc_x=0.108m/s, acc_y=0.510m/s, acc_z=9.983m/s, gyrv_x=51.931°/s, gyrv_y=-5.355°/s, gyrv_z=-158.593°/s, time=7058.876
acc_x=-9.067m/s, acc_y=1.453m/s, acc_z=10.192m/s, gyrv_x=6.204°/s, gyrv_y=-60.882°/s, gyrv_z=-205.677°/s, time=7058.935
acc_x=-10.787m/s, acc_y=-8.336m/s, acc_z=16.159m/s, gyrv_x=-8.706°/s, gyrv_y=25.734°/s, gyrv_z=-175.026°/s, time=7058.987
acc_x=-1.375m/s, acc_y=-1.406m/s, acc_z=13.077m/s, gyrv_x=6.694°/s, gyrv_y=30.905°/s, gyrv_z=-31.561°/s, time=7059.045
acc_x=5.023m/s, acc_y=3.736m/s, acc_z=11.359m/s, gyrv_x=-37.292°/s, gyrv_y=-46.734°/s, gyrv_z=-43.242°/s, time=7059.096
acc_x=-10.347m/s, acc_y=-2.289m/s, acc_z=15.790m/s, gyrv_x=74.392°/s, gyrv_y=-37.266°/s, gyrv_z=22.199°/s, time=7059.151
acc_x=-4.365m/s, acc_y=-12.846m/s, acc_z=19.600m/s, gyrv_x=45.780°/s, gyrv_y=27.834°/s, gyrv_z=-43.645°/s, time=7059.203
acc_x=0.294m/s, acc_y=5.871m/s, acc_z=19.600m/s, gyrv_x=65.511°/s, gyrv_y=-74.821°/s, gyrv_z=-90.002°/s, time=7059.252
acc_x=0.207m/s, acc_y=-7.247m/s, acc_z=12.954m/s, gyrv_x=82.066°/s, gyrv_y=-33.355°/s, gyrv_z=-150.955°/s, time=7059.309
acc_x=-2.283m/s, acc_y=1.289m/s, acc_z=10.238m/s, gyrv_x=64.531°/s, gyrv_y=-59.517°/s, gyrv_z=-141.452°/s, time=7059.369
acc_x=-5.569m/s, acc_y=0.185m/s, acc_z=9.057m/s, gyrv_x=-43.234°/s, gyrv_y=-20.554°/s, gyrv_z=-61.512°/s, time=7059.432
acc_x=0.884m/s, acc_y=-2.612m/s, acc_z=7.006m/s, gyrv_x=83.055°/s, gyrv_y=-21.560°/s, gyrv_z=-72.275°/s, time=7059.485
acc_x=-2.469m/s, acc_y=-5.152m/s, acc_z=8.966m/s, gyrv_x=83.317°/s, gyrv_y=-54.355°/s, gyrv_z=-128.887°/s, time=7059.542
acc_x=10.788m/s, acc_y=2.521m/s, acc_z=8.541m/s, gyrv_x=46.769°/s, gyrv_y=23.065°/s, gyrv_z=10.307°/s, time=7059.603
acc_x=-0.853m/s, acc_y=1.517m/s, acc_z=9.848m/s, gyrv_x=53.051°/s, gyrv_y=-15.855°/s, gyrv_z=20.755°/s, time=7059.661
acc_x=3.718m/s, acc_y=-0.644m/s, acc_z=11.145m/s, gyrv_x=68.215°/s, gyrv_y=-46.567°/s, gyrv_z=7.910°/s, time=7059.708
acc_x=-0.103m/s, acc_y=0.684m/s, acc_z=9.785m/s, gyrv_x=-42.814°/s, gyrv_y=-14.744°/s, gyrv_z=-109.244°/s, time=7059.764
acc_x=0.793m/s, acc_y=0.327m/s, acc_z=10.231m/s, gyrv_x=94.176°/s, gyrv_y=-58.564°/s, gyrv_z=-88.174°/s, time=7059.814
acc_x=3.736m/s, acc_y=-4.795m/s, acc_z=8.384m/s, gyrv_x=67.051°/s, gyrv_y=-36.374°/s, gyrv_z=-118.904°/s, time=7059.874
acc_x=-0.673m/s, acc_y=2.804m/s, acc_z=5.423m/s, gyrv_x=95.209°/s, gyrv_y=-41.921°/s, gyrv_z=-157.395°/s, time=7059.935
acc_x=12.238m/s, acc_y=-4.170m/s, acc_z=9.432m/s, gyrv_x=81.471°/s, gyrv_y=-65.625°/s, gyrv_z=-84.831°/s, time=7059.995
acc_x=-4.031m/s, acc_y=-7.242m/s, acc_z=10.156m/s, gyrv_x=71.732°/s, gyrv_y=32.865°/s, gyrv_z=26.617°/s, time=7060.056
acc_x=8.418m/s, acc_y=5.736m/s, acc_z=7.680m/s, gyrv_x=92.479°/s, gyrv_y=-15.794°/s, gyrv_z=8.566°/s, time=7060.113
acc_x=0.050m/s, acc_y=0.064m/s, acc_z=10.137m/s, gyrv_x=65.529°/s, gyrv_y=24.185°/s, gyrv_z=-160.370°/s, time=7060.170
acc_x=1.815m/s, acc_y=-2.127m/s, acc_z=11.021m/s, gyrv_x=60.996°/s, gyrv_y=-64.671°/s, gyrv_z=-99.312°/s, time=7060.229
acc_x=7.054m/s, acc_y=4.000m/s, acc_z=12.162m/s, gyrv_x=66.622°/s, gyrv_y=-35.324°/s, gyrv_z=-72.179°/s, time=7060.287
acc_x=4.464m/s, acc_y=11.279m/s, acc_z=19.600m/s, gyrv_x=76.632°/s, gyrv_y=-67.506°/s, gyrv_z=-142.415°/s, time=7060.348
acc_x=-3.507m/s, acc_y=-2.204m/s, acc_z=17.187m/s, gyrv_x=49.490°/s, gyrv_y=-50.636°/s, gyrv_z=-155.732°/s, time=7060.408
acc_x=-0.303m/s, acc_y=-0.117m/s, acc_z=10.617m/s, gyrv_x=34.737°/s, gyrv_y=-20.072°/s, gyrv_z=-94.964°/s, time=7060.467
