t_rel_s,pitch_deg,pitch_rate_dps,balance_command_sps,target_velocity_sps,completed_velocity_sps,left_applied_sps,right_applied_sps,controller_saturation_flags,controller_fault_flags,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps
0.00249,0.25650946343840214,-23.920027274068634,-2154.1133880615234,0.0,-1658.8481701021858,-2000.0,-2000.0,0,0,2.499,0.027,2865,2865
0.02249,0.26981361059508124,7.80674540869531,-1909.9248886108398,0.0,-1944.9761543277946,-1800.0,-1800.0,0,0,2.5,0.027,2823,2823
0.04249,0.6627218107828416,46.43477839200541,-1612.3533248901367,0.0,-2010.4217749589109,-2000.0,-2000.0,0,0,2.5,0.027,2785,2785
0.062489,1.4143962895598179,23.810849637654186,-1751.1560440063477,0.0,-1911.9286975889247,-1600.0,-1600.0,0,0,2.499,0.026,2750,2750
0.082464,1.8532560423149613,31.00326280670732,-1268.663215637207,0.0,-1801.0196009694212,-1400.0,-1400.0,0,0,2.474,0.001,2715,2715
0.102489,2.217192397837996,8.269153977435055,-1315.8388137817383,0.0,-1594.7954870465448,-1200.0,-1200.0,0,0,2.499,0.026,2688,2688
0.122489,2.072607693913688,-16.009745244097868,-1442.0208930969238,0.0,-1471.6379346737742,-1600.0,-1600.0,0,0,2.5,0.026,2660,2660
0.142489,1.8726491366312317,-15.159980729085657,-1382.816219329834,0.0,-1400.8915427779236,-1400.0,-1400.0,0,0,2.4979999999999998,0.026,2631,2631
0.16249,1.1359407125839103,-49.14736771884464,-2146.000099182129,0.0,-1477.584848921495,-2200.0,-2200.0,0,0,2.5010000000000003,0.027,2600,2600
0.18249,0.026809149811792964,-49.788490792515574,-2501.8470764160156,0.0,-1745.66637686917,-2400.0,-2400.0,0,0,2.5,0.027,2555,2555
0.202498,-0.4215050734230615,26.195969411567727,-1949.9858856201172,0.0,-2209.3427019384076,-2600.0,-2600.0,0,0,2.509,0.035,2503,2503
0.222489,0.09434173741431116,29.51215206351115,-2230.34610748291,0.0,-2435.270188732035,-2200.0,-2200.0,2,0,2.5010000000000003,0.026,2457,2457
0.242489,0.46403896214790225,11.233253403105772,-2434.523391723633,0.0,-2391.0880722524153,-2400.0,-2400.0,2,0,2.5,0.026,2411,2411
0.262489,0.5056314268144954,-3.4056599203505913,-2598.0417251586914,0.0,-2324.237970570787,-2600.0,-2600.0,2,0,2.5,0.026,2363,2363
0.282491,0.2421127970142441,-5.9904201937532955,-2626.913833618164,0.0,-2463.9709779752216,-2800.0,-2800.0,2,0,2.492,0.028,2310,2310
0.302489,2.1154320273110487,158.8952043955412,-247.40569591522217,0.0,-2515.816349820223,-1200.0,-1200.0,1,0,2.499,0.026,2263,2263
0.322489,4.260934083085326,31.06710428456152,-1093.3024406433105,0.0,-1884.9080950833527,-400.0,-400.0,0,0,2.499,0.026,2249,2249
0.342489,3.2900420590239743,-101.19613661943305,-2198.046112060547,0.0,-1185.40246766527,-1600.0,-1600.0,0,0,2.4979999999999998,0.026,2226,2226
0.36249,1.2830106184520569,-89.31577250495867,-2236.7734909057617,0.0,-1314.9407341105857,-2400.0,-2400.0,0,0,2.499,0.027,2183,2183
0.382489,0.1745294521459835,-12.436002133795201,-2286.208152770996,0.0,-2007.3255489263277,-2200.0,-2200.0,0,0,2.499,0.026,2138,2138
0.402489,0.543769501140634,43.44581931892029,-2033.7209701538086,0.0,-2251.26981584198,-1400.0,-1400.0,0,0,2.4979999999999998,0.026,2095,2095
0.422489,1.2464304668754904,31.195740760488945,-1785.3315353393555,0.0,-2072.2405249559256,-2000.0,-2000.0,0,0,2.499,0.026,2057,2057
0.442489,1.5553594537041366,-27.20355057160086,-2504.117774963379,0.0,-1914.2674841731264,-2000.0,-2000.0,0,0,2.4979999999999998,0.026,2021,2021
0.462489,1.4529563929312443,6.371478625081929,-1851.454734802246,0.0,-1992.880815562956,-2000.0,-2000.0,0,0,2.499,0.026,1978,1978
0.48249,1.2278236506113784,-23.405981796768874,-2440.835952758789,0.0,-2000.3295538567916,-2400.0,-2400.0,0,0,2.5,0.027,1937,1937
0.50249,0.5722876179784739,-20.77638827041973,-2687.5656127929688,0.0,-2243.249039697319,-2800.0,-2800.0,0,0,2.499,0.027,1885,1885
0.522489,0.858939134041844,17.864923169371025,-2359.373092651367,0.0,-2449.197209590199,-2400.0,-2400.0,0,0,2.499,0.026,1835,1835
0.542489,1.2355998106240005,3.8385901598967824,-2517.122459411621,0.0,-2473.0839679735623,-2400.0,-2400.0,2,0,2.499,0.026,1789,1789
0.56249,1.8881293112422,80.96988938220271,-1338.2308959960938,0.0,-2380.6398811927834,-2000.0,-2000.0,0,0,2.499,0.027,1740,1740
0.582489,3.6585508086185667,62.94672368834429,-842.5468444824219,0.0,-2021.2086057136596,-600.0,-600.0,0,0,2.499,0.026,1715,1715
0.602488,3.6362915815367756,-65.45671010853147,-1855.6169509887695,0.0,-1442.861925606505,-1600.0,-1600.0,0,0,2.4979999999999998,0.025,1695,1695
0.622495,2.8047913480800477,-16.93336130762162,-927.8526306152344,0.0,-1252.2053927764946,-1400.0,-1400.0,0,0,2.504,0.032,1660,1660
0.642489,2.393255453010414,-37.99206803533449,-1429.8998832702637,0.0,-1366.825561870836,-1200.0,-1200.0,0,0,2.499,0.026,1639,1639
0.662489,1.8432167586467545,-9.941102997167608,-1292.5641059875488,0.0,-1340.4266203808052,-1400.0,-1400.0,0,0,2.499,0.026,1612,1612
0.68249,2.147084524474354,14.860278558005906,-635.527753829956,0.0,-1197.2459142578184,-800.0,-800.0,0,0,2.5,0.027,1589,1589
0.70249,2.384153747910954,0.8892628625871095,-632.4860572814941,0.0,-1043.038187076016,-600.0,-600.0,0,0,2.499,0.027,1576,1576
0.722489,2.524856084935594,5.73944208443783,-107.23203420639038,0.0,-726.0423588622199,-400.0,-400.0,0,0,2.5,0.026,1564,1564
0.742489,2.4364556330889933,-8.834084348912521,-338.3652448654175,0.0,-485.7566085566515,-400.0,-400.0,0,0,2.499,0.026,1559,1559
0.76249,2.3662836394687727,-7.617093792408057,26.024505496025085,0.0,-276.12371707251447,200.0,200.0,0,0,2.4979999999999998,0.0,1558,1558
0.78249,2.4021059462745447,13.599776331003078,641.1379337310791,0.0,-38.17252545143283,400.0,400.0,0,0,2.5,4.997,1561,1561
0.802491,2.3801123822636048,-11.509613762251867,613.3946895599365,0.0,310.3660049735269,600.0,600.0,0,0,2.5010000000000003,4.998,1574,1574
0.82249,2.3230518170869714,2.5682674257889246,1311.3568305969238,0.0,527.5252495481368,1200.0,1200.0,0,0,2.5,4.997,1587,1587
0.842491,1.7369572909159368,-29.955324942226667,1016.6218757629395,0.0,855.2172415985438,1000.0,1000.0,0,0,2.523,4.998,1610,1610
0.862491,1.3422543446440331,-30.40030670948442,1138.6820793151855,0.0,989.6961199966388,1400.0,1400.0,0,0,2.5010000000000003,4.998,1631,1631
0.88249,0.6423412034655905,-2.874795098843229,1574.9641418457031,0.0,1053.7908877522025,1000.0,1000.0,0,0,2.5,4.997,1652,1652
0.90249,0.3210932890236402,-49.22940163080073,758.9803218841553,0.0,1219.7325608404346,1200.0,1200.0,0,0,2.4979999999999998,4.997,1682,1682
0.92249,0.044507253924339386,24.558433959850696,1853.74755859375,0.0,1131.7790158763362,1200.0,1200.0,0,0,2.5,4.997,1700,1700
0.942491,0.2270292794804859,9.19763797033194,1872.071647644043,0.0,1386.9052560403836,1400.0,1400.0,0,0,2.5,4.998,1734,1734
0.962491,0.46370294395095585,-16.27897650191844,1791.5765762329102,0.0,1531.6565029597998,2000.0,2000.0,0,0,2.5010000000000003,4.998,1771,1771
0.98249,0.3243536516751551,-17.252842016741198,1734.395408630371,0.0,1836.7651312178452,2200.0,2200.0,0,0,2.5,4.997,1807,1807
1.00249,0.1078109712615376,-19.424188589418343,2060.3952407836914,0.0,1949.0477773721805,2400.0,2400.0,0,0,2.5,4.997,1848,1848
1.022491,-0.01701556384926999,-17.11663640732796,2194.045066833496,0.0,2062.502868917905,2400.0,2400.0,0,0,2.5010000000000003,4.998,1893,1893
1.04249,0.1470350934896418,32.41114405246169,2922.035789489746,0.0,2243.555576076302,2800.0,2800.0,2,0,2.5,4.997,1940,1940
1.06249,0.7327022600974809,30.59292365708303,2901.7261505126953,0.0,2520.0938593356427,2800.0,2800.0,2,0,2.5010000000000003,4.997,1997,1997
1.082465,0.8261044189608202,-41.18461606645929,2099.96337890625,0.0,2729.185713183802,2600.0,2600.0,3,0,2.475,4.972,2054,2054
1.10249,0.45131034739155207,7.015918356977724,2638.368606567383,0.0,2655.290856962339,2400.0,2400.0,3,0,2.5,4.997,2100,2100
