t_rel_s,pitch_deg,pitch_rate_dps,balance_command_sps,target_velocity_sps,completed_velocity_sps,left_applied_sps,right_applied_sps,controller_saturation_flags,controller_fault_flags,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps
0.002488,-0.28400902775637865,0.3540772462771996,-47.50559329986572,0.0,-8.590275568584993,-0.0,-0.0,0,0,2.499,2.497,5395,5395
0.022486,-0.3453708263233457,-4.65816885766276,-217.61810779571533,0.0,-39.58358311948538,-400.0,-400.0,0,0,2.4979999999999998,2.495,5394,5394
0.042487,-0.36318904762248483,-4.211943589906157,-294.1434621810913,0.0,-110.3192754813824,-200.0,-200.0,0,0,2.499,2.496,5390,5390
0.062487,-0.29031641819046694,8.823943879968692,-181.25053644180298,0.0,-175.79534030115093,-0.0,-0.0,0,0,2.499,2.496,5385,5385
0.082491,-0.26270912011640385,4.5504266960407564,-261.5264892578125,0.0,-197.3345752020927,-400.0,-400.0,0,0,2.5,2.5,5381,5381
0.102492,0.07712282285639903,10.039705008552051,-115.66606760025024,0.0,-221.72511272005494,-0.0,-0.0,0,0,2.502,7.501,5378,5378
0.122492,0.035933015094128974,3.4163142184326007,-221.0287094116211,0.0,-160.26320442445314,-400.0,-400.0,0,0,2.5010000000000003,2.502,5376,5376
0.14249,0.3796361083697585,13.657976634356904,108.93986225128174,0.0,-123.76636157343034,200.0,200.0,0,0,2.499,4.993,5373,5373
0.162489,0.36863879800243177,-4.462054425998673,-101.84361934661865,0.0,-57.40139399839054,-0.0,-0.0,0,0,2.499,4.998,5375,5375
0.182489,0.3993412574364034,0.6704138926819685,62.62454390525818,0.0,-8.745429094799945,0.0,0.0,0,0,2.502,4.996,5374,5374
0.202488,0.3981948891267122,3.725072621507256,183.9307427406311,0.0,36.241526255084224,0.0,0.0,0,0,2.5,4.995,5376,5376
0.222488,0.40040976575170095,-8.478453614976733,34.29480493068695,0.0,90.65198190694576,200.0,200.0,0,0,2.5,4.995,5379,5379
0.242488,0.3607558132223041,0.8745210231185345,271.68688774108887,0.0,119.9451942569221,200.0,200.0,0,0,2.494,4.995,5381,5381
0.262487,0.24577546222675445,-11.4834061114119,110.40509939193726,0.0,178.91831040541035,200.0,200.0,0,0,2.5,4.994,5386,5386
0.28001,0.07642247795375792,-11.363215737819687,70.55621147155762,0.0,171.33135832407106,0.0,0.0,0,0,2.522,2.517,5389,5389
0.302492,-0.11487861727299427,-5.433936697979288,113.17242383956909,0.0,129.16861268871054,200.0,200.0,0,0,2.502,4.999,5390,5390
0.320013,-0.2602199645358218,-14.61982198880694,-157.54512548446655,0.0,97.61105829403392,-0.0,-0.0,0,0,2.522,0.021,5392,5392
0.342492,-0.35294573992147243,3.15334882197647,-7.731993496417999,0.0,28.091980887030203,-0.0,-0.0,0,0,2.5,0.0,5391,5391
0.362492,-0.37876121138096475,-3.003921627117242,-149.92589950561523,0.0,1.741272883964677,-200.0,-200.0,0,0,2.5010000000000003,0.0,5391,5391
0.38249,-0.3435643454639027,0.8057382353588041,-164.81112241744995,0.0,-56.092691801356736,-0.0,-0.0,0,0,2.5,4.998,5389,5389
0.400002,-0.3694735271423602,3.9612712294331494,-128.85500192642212,0.0,-94.45673038870996,-200.0,-200.0,0,0,2.5100000000000002,2.51,5386,5386
