t_rel_s,pitch_deg,pitch_rate_dps,balance_command_sps,target_velocity_sps,completed_velocity_sps,left_applied_sps,right_applied_sps,controller_saturation_flags,controller_fault_flags,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps
0.002488,0.14599070718912077,-2.06897878614017,38.24738562107086,0.0,18.823496851550647,0.0,0.0,0,0,2.499,2.501,5305,5305
0.022487,0.1292573371170919,-3.5299956843150815,14.961598813533783,0.0,56.11691971084278,200.0,200.0,0,0,2.5,2.498,5305,5305
0.042486,-0.04657162696936448,-3.132425721587722,-23.371362686157227,0.0,5.733658096116195,-0.0,-0.0,0,0,2.499,2.499,5305,5305
0.062488,-0.06685861196845558,-4.6921968512084655,-86.36223077774048,0.0,0.010700552669512788,-0.0,-0.0,0,0,2.5010000000000003,7.501,5305,5305
0.082488,-0.1068618839918917,0.5637771315391714,-51.4106810092926,0.0,-30.14937332800887,-0.0,-0.0,0,0,2.502,4.985,5304,5304
0.102489,-0.174629433803504,-0.203943815996832,-96.51789665222168,0.0,-34.95235841752677,-200.0,-200.0,0,0,2.5,4.986,5303,5303
0.122494,-0.1626236063559789,-4.230356316012542,-207.20231533050537,0.0,-78.97604177581091,-0.0,-0.0,0,0,2.502,4.991,5301,5301
0.14249,-0.1560435562411462,10.111314570230546,-4.89681251347065,0.0,-114.97648699834545,-200.0,-200.0,0,0,2.5010000000000003,4.987,5298,5298
0.16249,-0.02822268114407142,-6.179944728996158,-238.95690441131592,0.0,-95.5347000843676,-200.0,-200.0,0,0,2.5,0.001,5297,5297
0.182489,0.020003629935777086,14.966612864237547,98.8418698310852,0.0,-114.91240611061387,0.0,0.0,0,0,2.499,0.0,5294,5294
0.202488,0.055103054797133046,-9.094999835530507,-249.57282543182373,0.0,-56.50656705372245,-200.0,-200.0,0,0,2.494,2.499,5294,5294
0.222489,0.18457933779155014,10.267705758797698,126.62632465362549,0.0,-89.87413603859795,200.0,200.0,0,0,2.499,0.0,5291,5291
0.242496,0.09204132818218269,-7.583187018764827,-152.5122880935669,0.0,-19.41304419205682,-200.0,-200.0,0,0,2.506,2.495,5293,5293
0.262488,0.20851796329919334,7.831937099885294,116.34464263916016,0.0,-25.790565674064034,200.0,200.0,0,0,2.494,2.499,5291,5291
0.282489,0.11710187179131738,-7.736589707329486,-52.88349390029907,0.0,8.48160881289959,-0.0,-0.0,0,0,2.544,2.5,5292,5292
