received_at_unix_s,received_at_monotonic_s,run_id,seed,controller_fault_flags,controller_saturation_flags,imu_timestamp_us,t_sec,age_ms,pitch_deg,pitch_rate_dps,raw_acc_pitch_deg,fused_pitch_deg,gyro_pitch_rate_dps,filtered_pitch_rate_dps,u_sps,turn_sps,target_velocity_sps,vel_error,measured_vel_sps,velocity_p_term_deg,velocity_i_term_deg,pitch_error_deg,pitch_sp_deg,rate_setpoint_dps,rate_error_dps,command_saturated,actuator_fault,left_target_sps,right_target_sps,left_applied_sps,right_applied_sps,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps,plant_pitch_deg,plant_pitch_rate_dps,plant_position_m,plant_velocity_mps,target_wheel_velocity,actual_wheel_velocity,plant_velocity_error,f_cmd,f_app,external_force_n,external_com_bias_rad,x_ddot,theta_ddot,force_saturated,phase_error_steps,missed_steps,traction_limit_n,motor_force_limit_n,total_mass_scale,pitch_inertia_scale,motor_max_force_n,motor_no_load_speed_mps,motor_velocity_damping,motor_tau_s,traction_coefficient,pitch_damping,cart_damping,phase_error_limit_steps,tire_stiffness_n_per_m,tire_damping_n_s_per_m,wheel_equivalent_mass_kg
1784671583.5764563,314750.4700948,0,0,8,0,0,51.200002,1.005,47.0366349660622,130.12414533489317,165.08558396791867,47.0366349660622,131.8272327912301,130.12414533489317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.0366349660622,0.0,0.0,-130.12414533489317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,47.0366349660622,130.12414533489317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.5789795,314750.4726181,0,0,8,0,0,51.202502,1.101,47.35796297851365,133.53710084363803,165.74587874459024,47.35796297851365,134.9859763885774,133.53710084363803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.35796297851365,0.0,0.0,-133.53710084363803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,47.35796297851365,133.53710084363803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.5817194,314750.4753575,0,0,8,0,0,51.205005,1.209,47.68549834556359,136.59641368475303,167.60491590300026,47.6854983455636,137.98722030517052,136.59641368475303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.68549834556359,0.0,0.0,-136.59641368475303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,47.68549834556359,136.59641368475303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.5839634,314750.477602,0,0,8,0,0,51.207503,0.095,48.19548970917425,142.1399378107011,166.15789000600176,48.19548970917425,143.79720852854612,142.1399378107011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.19548970917425,0.0,0.0,-142.1399378107011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48.19548970917425,142.1399378107011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.586547,314750.4801864,0,0,8,0,0,51.210017,0.208,48.54502948245617,145.44825981854038,165.59321647078897,48.54502948245618,146.88595226778045,145.44825981854038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.54502948245617,0.0,0.0,-145.44825981854038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48.54502948245617,145.44825981854038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.5883925,314750.4820305,0,0,8,0,0,51.212503,0.294,48.90440314552422,149.43601342068203,168.52719003966965,48.90440314552422,150.5696948009749,149.43601342068206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.90440314552422,0.0,0.0,-149.43601342068203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48.90440314552422,149.43601342068203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.590926,314750.4845644,0,0,8,0,0,51.215003,0.4029999999999999,49.27212372375696,154.563588276563,170.9343659128868,49.27212372375696,157.63093048811965,154.563588276563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.27212372375696,0.0,0.0,-154.563588276563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,49.27212372375696,154.563588276563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.594479,314750.4881173,0,0,8,0,0,51.217504,0.49,49.65384856980771,158.1856904258036,167.2240746350027,49.65384856980771,159.94967578811142,158.1856904258036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.65384856980771,0.0,0.0,-158.1856904258036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,49.65384856980771,158.1856904258036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.5970902,314750.4907282,0,0,8,0,0,51.220003,0.587,50.043113168851264,162.1091441138142,165.64324515566042,50.04311316885126,163.8696678424371,162.1091441138142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.043113168851264,0.0,0.0,-162.1091441138142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50.043113168851264,162.1091441138142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.6040747,314750.497712,0,0,8,0,0,51.222518,0.704,50.43904283008946,164.88731728957669,169.96602244329148,50.439042830089456,166.17966316016478,164.8873172895767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.43904283008946,0.0,0.0,-164.88731728957669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50.43904283008946,164.88731728957669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.6044629,314750.498103,0,0,8,0,0,51.225003,0.7969999999999999,50.8411616670492,167.94197044233246,170.0877596100497,50.84116166704919,169.32965677524794,167.9419704423325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.8411616670492,0.0,0.0,-167.94197044233246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50.8411616670492,167.94197044233246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.6049097,314750.4985466,0,0,8,0,0,51.227503,0.895,51.25149866710727,170.43013813058806,168.02432288046396,51.25149866710727,171.3946525895802,170.43013813058806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.25149866710727,0.0,0.0,-170.43013813058806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,51.25149866710727,170.43013813058806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
