event_index,hardware_time_s,direction,amplitude_steps,observed_transition_frame,observed_transition_video_s,mapped_transition_video_s,residual_video_ms,residual_physical_ms
0,1.102822,1,1,1386,46.1169667,46.1108615,6.10523232,0.381781922
1,1.604486,-1,1,1627,54.1359,54.1331776,2.72241719,0.170242444
2,2.106189,1,1,1868,62.1548333,62.1561174,-1.28406303,-0.0802970345
3,2.607877,-1,1,2109,70.1737667,70.1788173,-5.05057205,-0.315830259
4,3.109662,1,1,2350,78.1927,78.2030683,-10.3683481,-0.648369738
5,3.611359,-1,1,2592,86.2444778,86.2259122,18.5656201,1.16097435
6,4.113042,1,2,2832,94.2300778,94.2485321,-18.4543318,-1.1540151
7,4.614972,-1,2,3074,102.282344,102.275102,7.24203724,0.452870383
8,5.116783,1,2,3315,110.301278,110.299769,1.50918444,0.0943746781
9,5.618639,-1,2,3556,118.320211,118.325155,-4.94428194,-0.30918356
10,6.120568,1,2,3797,126.339144,126.351709,-12.5651215,-0.785741798
11,6.622286,-1,2,4039,134.391411,134.374889,16.5222271,1.03319371
