frame,video_time_s,video_pts,act_mean,act_max,act_p95,laser_x_px,laser_y_px,laser_integrated_brightness,laser_peak_brightness,laser_width_px,laser_confidence,laser_note
0,0.000000000,0,41.791666700,109,93.800000000,666.891257000,468.104355000,401091.781000000,207.213000000,55.869057700,1.000000000,saturated
1,0.033333333,3000,41.875000000,109,93.800000000,666.890989000,468.100085000,401085.781000000,207.213000000,55.868631300,1.000000000,saturated
2,0.066666667,6000,41.791666700,109,92.950000000,667.011668000,468.143746000,399135.181000000,207.213000000,55.786994700,1.000000000,saturated
3,0.100000000,9000,42.750000000,112,94.950000000,667.024287000,468.029047000,400625.581000000,207.213000000,55.953946000,1.000000000,saturated
4,0.133333333,12000,42.500000000,107,90.250000000,667.008150000,468.048567000,418466.797000000,207.327000000,56.666536500,1.000000000,saturated
5,0.166666667,15000,43.208333300,108,91.950000000,667.145032000,468.113332000,411595.019000000,207.327000000,56.292900500,1.000000000,saturated
6,0.200000000,18000,43.041666700,109,92.800000000,667.118200000,468.029219000,410094.219000000,204.996000000,56.216304400,1.000000000,saturated
7,0.233333333,21000,43.833333300,114,99.200000000,667.096642000,468.005944000,411161.619000000,208.729000000,56.263614300,1.000000000,saturated
8,0.266188889,23957,43.250000000,114,99.900000000,667.102361000,467.981066000,411768.819000000,207.441000000,56.215045300,1.000000000,saturated
9,0.299522222,26957,42.500000000,114,101.700000000,666.926448000,468.124458000,418907.197000000,209.544000000,56.544043300,1.000000000,saturated
10,0.332855556,29957,42.291666700,114,99.900000000,667.011031000,468.070123000,419839.797000000,210.245000000,56.608540700,1.000000000,saturated
11,0.366188889,32957,41.958333300,109,99.500000000,666.810450000,468.092763000,422496.597000000,209.658000000,56.778480600,1.000000000,saturated
12,0.399522222,35957,42.958333300,112,101.200000000,666.904347000,468.013338000,421300.597000000,208.957000000,56.773553700,1.000000000,saturated
13,0.432855556,38957,42.541666700,116,109.800000000,666.798944000,468.105032000,421692.196000000,209.544000000,56.923279900,1.000000000,saturated
14,0.466188889,41957,43.000000000,124,115.200000000,666.763983000,468.017640000,419624.396000000,210.245000000,56.962328900,1.000000000,saturated
15,0.499522222,44957,42.750000000,126,116.900000000,666.845260000,467.903247000,401591.000000000,205.224000000,56.427094800,1.000000000,saturated
16,0.532388889,47915,42.125000000,124,108.950000000,666.868464000,467.875132000,401944.000000000,205.224000000,56.445460700,1.000000000,saturated
17,0.565722222,50915,42.291666700,123,108.650000000,666.879214000,467.939145000,402498.000000000,205.110000000,56.367778100,1.000000000,saturated
18,0.599055556,53915,41.708333300,122,107.650000000,666.964710000,467.863802000,402208.000000000,206.267000000,56.308716300,1.000000000,saturated
19,0.632388889,56915,41.625000000,121,107.800000000,667.064574000,467.895895000,401355.000000000,206.267000000,56.315624700,1.000000000,saturated
20,0.665722222,59915,41.708333300,121,107.650000000,667.017755000,467.955733000,405758.204000000,207.327000000,56.269657100,1.000000000,saturated
21,0.699055556,62915,41.333333300,117,104.800000000,666.996305000,467.866777000,404510.004000000,206.626000000,56.206040100,1.000000000,saturated
22,0.732388889,65915,42.166666700,119,105.100000000,666.927899000,467.955909000,404165.004000000,206.854000000,56.189989500,1.000000000,saturated
23,0.765722222,68915,42.958333300,121,107.950000000,666.955943000,467.970362000,405137.404000000,207.327000000,56.219599500,1.000000000,saturated
24,0.798555556,71870,42.583333300,120,107.800000000,666.905863000,468.086613000,416556.219000000,208.729000000,56.734924700,1.000000000,saturated
25,0.831888889,74870,42.875000000,120,107.800000000,666.851288000,468.072366000,413081.000000000,208.028000000,56.640035700,1.000000000,saturated
26,0.865222222,77870,42.791666700,121,107.950000000,666.831550000,468.068190000,401932.596000000,206.626000000,56.193840300,1.000000000,saturated
27,0.898555556,80870,43.375000000,119,105.000000000,666.899130000,467.983112000,403539.396000000,206.626000000,56.185165800,1.000000000,saturated
28,0.931888889,83870,42.875000000,116,104.000000000,667.016904000,467.986214000,403561.204000000,207.327000000,56.278784500,1.000000000,saturated
