Starting IMU.
ISM330 requested ODR=833.000000; accel now=833.000000, gyro now=833.000000
Trigger 'imu833' sampling_frequency now=833.000000
iio:device1: using trigger 'imu833'
iio:device0: using trigger 'imu833'
Polling for IMU data...
acc_x=-0.257m/s, acc_y=-0.333m/s, acc_z=10.039m/s, gyrv_x=-0.516°/s, gyrv_y=0.315°/s, gyrv_z=-3.062°/s, time=7500.022
acc_x=-0.246m/s, acc_y=-0.344m/s, acc_z=10.062m/s, gyrv_x=16.581°/s, gyrv_y=4.060°/s, gyrv_z=37.039°/s, time=7500.024
acc_x=-0.254m/s, acc_y=-0.355m/s, acc_z=10.059m/s, gyrv_x=-2.196°/s, gyrv_y=-29.111°/s, gyrv_z=-46.086°/s, time=7500.025
acc_x=-0.276m/s, acc_y=-0.319m/s, acc_z=10.059m/s, gyrv_x=-22.680°/s, gyrv_y=-29.111°/s, gyrv_z=-46.086°/s, time=7500.026
acc_x=-0.276m/s, acc_y=-0.319m/s, acc_z=10.059m/s, gyrv_x=-5.609°/s, gyrv_y=-5.372°/s, gyrv_z=-37.441°/s, time=7500.027
acc_x=-0.271m/s, acc_y=-0.328m/s, acc_z=10.062m/s, gyrv_x=-5.609°/s, gyrv_y=-9.380°/s, gyrv_z=-37.441°/s, time=7500.028
acc_x=-0.274m/s, acc_y=-0.300m/s, acc_z=10.073m/s, gyrv_x=15.794°/s, gyrv_y=-2.126°/s, gyrv_z=-35.997°/s, time=7500.030
acc_x=-0.268m/s, acc_y=-0.328m/s, acc_z=10.058m/s, gyrv_x=3.867°/s, gyrv_y=-2.004°/s, gyrv_z=-33.014°/s, time=7500.031
acc_x=-0.293m/s, acc_y=-0.322m/s, acc_z=10.060m/s, gyrv_x=6.230°/s, gyrv_y=-4.121°/s, gyrv_z=-39.121°/s, time=7500.032
acc_x=-0.276m/s, acc_y=-0.298m/s, acc_z=10.044m/s, gyrv_x=5.565°/s, gyrv_y=-23.590°/s, gyrv_z=-22.059°/s, time=7500.033
acc_x=-0.298m/s, acc_y=-0.332m/s, acc_z=10.063m/s, gyrv_x=10.071°/s, gyrv_y=-12.469°/s, gyrv_z=-67.086°/s, time=7500.034
acc_x=-0.284m/s, acc_y=-0.309m/s, acc_z=10.058m/s, gyrv_x=24.797°/s, gyrv_y=-18.174°/s, gyrv_z=-111.352°/s, time=7500.036
acc_x=-0.302m/s, acc_y=-0.311m/s, acc_z=10.061m/s, gyrv_x=39.489°/s, gyrv_y=-24.019°/s, gyrv_z=-155.435°/s, time=7500.037
acc_x=-0.316m/s, acc_y=-0.311m/s, acc_z=10.077m/s, gyrv_x=54.906°/s, gyrv_y=-36.111°/s, gyrv_z=-248.036°/s, time=7500.038
acc_x=-0.307m/s, acc_y=-0.330m/s, acc_z=10.039m/s, gyrv_x=69.370°/s, gyrv_y=-36.111°/s, gyrv_z=-248.036°/s, time=7500.039
acc_x=-0.307m/s, acc_y=-0.330m/s, acc_z=10.039m/s, gyrv_x=79.870°/s, gyrv_y=-41.169°/s, gyrv_z=-277.908°/s, time=7500.040
acc_x=-0.331m/s, acc_y=-0.314m/s, acc_z=10.056m/s, gyrv_x=48.352°/s, gyrv_y=-28.857°/s, gyrv_z=-174.702°/s, time=7500.042
acc_x=-0.328m/s, acc_y=-0.289m/s, acc_z=10.056m/s, gyrv_x=-12.049°/s, gyrv_y=-3.754°/s, gyrv_z=12.250°/s, time=7500.043
acc_x=-0.309m/s, acc_y=-0.318m/s, acc_z=10.052m/s, gyrv_x=-13.414°/s, gyrv_y=-3.412°/s, gyrv_z=17.159°/s, time=7500.044
